Date,Value
2013-02-26,3
2013-02-27,5
2013-02-28,9
2013-03-04,1
2013-03-05,27
2013-03-13,1
2013-03-14,20
2013-03-17,1
2013-03-19,2
2013-03-20,2
2013-03-21,2
2013-03-22,3
2013-03-25,15
2013-03-26,2
2013-03-27,2
2013-03-30,6
2013-04-04,4
2013-04-05,1
2013-04-08,6
2013-04-11,3
2013-04-17,3
2013-04-18,8
2013-04-22,2
2013-04-25,7
2013-04-29,14
2013-04-30,1
2013-05-01,19
2013-05-02,3
2013-05-06,7
2013-05-10,1
2013-05-13,1
2013-05-14,9
2013-05-15,8
2013-05-16,5
2013-05-19,4
2013-05-20,1
2013-05-21,2
2013-05-23,2
2013-05-24,1
2013-06-01,1
2013-06-04,6
2013-06-05,1
2013-06-06,1
2013-06-10,2
2013-06-14,2
2013-06-18,4
2013-06-20,1
2013-06-21,7
2013-06-22,6
2013-06-24,24
2013-06-25,10
2013-06-26,10
2013-07-10,6
2013-07-11,1
2013-07-12,1
2013-07-15,1
2013-07-16,3
2013-07-17,12
2013-07-18,1
2013-07-19,3
2013-07-20,1
2013-07-22,7
2013-07-25,3
2013-07-26,11
2013-07-31,7
2013-08-01,1
2013-08-08,11
2013-08-09,9
2013-08-10,2
2013-08-13,5
2013-08-15,13
2013-08-16,5
2013-08-19,6
2013-08-20,15
2013-08-21,4
2013-08-24,3
2013-08-25,27
2013-08-26,2
2013-08-28,12
2013-08-29,5
2013-08-30,2
2013-08-31,1
2013-09-01,1
2013-09-02,3
2013-09-03,1
2013-09-06,4
2013-09-07,4
2013-09-11,4
2013-09-12,1
2013-09-13,5
2013-09-17,3
2013-09-18,2
2013-09-21,4
2013-09-22,10
2013-09-23,1
2013-09-25,3
2013-09-26,8
2013-09-27,4
2013-09-29,4
2013-09-30,13
2013-10-01,2
2013-10-05,1
2013-10-07,5
2013-10-08,1
2013-10-10,8
2013-10-15,3
2013-10-17,3
2013-10-20,3
2013-10-21,3
2013-10-24,1
2013-10-27,10
2013-10-28,5
2013-10-29,4
2013-10-30,5
2013-10-31,1
2013-11-01,20
2013-11-02,1
2013-11-04,2
2013-11-06,3
2013-11-07,1
2013-11-08,1
2013-11-09,1
2013-11-11,9
2013-11-17,12
2013-11-18,3
2013-11-19,17
2013-11-21,5
2013-11-22,18
2013-11-25,5
2013-11-28,1
2013-11-29,4
2013-11-30,2
2013-12-02,1
2013-12-03,3
2013-12-04,2
2013-12-05,20
2013-12-06,1
2013-12-09,43
2013-12-10,5
2013-12-11,8
2013-12-12,5
